Section,Dist.(Km),Location,River,Lmax (mm),Lmin (mm),Bmax (mm),Bmin (mm),Dmax (mm),Dmin (mm),Color,Type,Number,Number.1
S-21,32.0,Kamrangichar,Buriganga,2.3,0.14,0.0,0.0,0.0,0.0,"Black, Red, Green",Fiber and Line,10.0,57.0
,,,,0.15,0.06,0.1,0.02,0.0,0.0,"Black, Bluish Green",Fragment and Sheet,23.0,
,,,,0.14,0.04,0.08,0.03,0.0,0.0,"White, Transparent",Film,8.0,
,,,,0.0,0.0,0.0,0.0,0.08,0.02,"Black, Brown",Pellet,14.0,
,,,,0.27,0.11,0.04,0.07,0.0,0.0,White,Foam,2.0,
S-22,33.6,Kamrangichar,Buriganga,0.16,0.05,0.0,0.0,0.0,0.0,"Black, Red",Fiber and Line,16.0,93.0
,,,,0.09,0.02,0.05,0.02,0.0,0.0,"Black, Dark Red",Fragment and Sheet,42.0,
,,,,0.1,0.03,0.05,0.02,0.0,0.0,"Black, White, Transparent",Film,18.0,
,,,,0.0,0.0,0.0,0.0,0.09,0.03,"Black, Brown",Pellet,17.0,
S-23,35.2,Kamrangichar,Buriganga,1.01,0.16,0.0,0.0,0.0,0.0,Black,Fiber and Line,17.0,96.0
,,,,0.1,0.03,0.07,0.02,0.0,0.0,"Black, Goldern, Red",Fragment and Sheet,39.0,
,,,,0.09,0.03,0.07,0.02,0.0,0.0,"White, Silver",Film,17.0,
,,,,0.0,0.0,0.0,0.0,0.07,0.03,"Black, Brown",23,,
S-24,36.8,Sadar Ghat,Buriganga,0.32,0.11,0.0,0.0,0.0,0.0,Black,Fiber and Line,19.0,107.0
,,,,0.29,0.02,0.11,0.03,0.0,0.0,"Black, Brown, Red, Golden",Fragment and Sheet,46.0,
,,,,0.24,0.05,0.16,0.03,0.0,0.0,"White, Transparent",Film,21.0,
,,,,0.0,0.0,0.0,0.0,0.06,0.03,"Black, Brown",Pellet,18.0,
,,,,0.0,0.0,0.0,0.0,0.14,0.06,White,Foam,3.0,
S-25,38.4,Sadar Ghat,Buriganga,0.49,0.12,0.0,0.0,0.0,0.0,"Black, Red",Fiber and Line,7.0,33.0
,,,,0.25,0.08,0.12,0.03,0.0,0.0,"Brown, Black, Dark Red",Fragment and Sheet,16.0,
,,,,0.23,0.04,0.08,0.02,0.0,0.0,"White, Transparent",Film,3.0,
,,,,0.0,0.0,0.0,0.0,0.1,0.03,"Black, Brown",Pellet,5.0,
,,,,0.24,0.09,0.1,0.04,0.0,0.0,White,Foam,2.0,
S-26,40.0,Postgola Bridge,Buriganga,0.45,0.15,0.0,0.0,0.0,0.0,"Black, Red",Fiber and Line,15.0,64.0
,,,,0.14,0.03,0.09,0.03,0.0,0.0,"Black, Red, Brown",Fragment and Sheet,26.0,
,,,,0.31,0.06,0.05,0.07,0.0,0.0,"White, Transparent",Film,6.0,
,,,,0.0,0.0,0.0,0.0,0.14,0.02,"Black, Brown",Pellet,17.0,
S-27,41.6,Shyampur,Buriganga,1.08,0.23,0.0,0.0,0.0,0.0,"Black, Red",Fiber and Line,32.0,106.0
,,,,0.08,0.02,0.03,0.02,0.0,0.0,"Black, Red, Blood Red",Fragment and Sheet,48.0,
,,,,0.9,0.31,0.09,0.04,0.0,0.0,"White, Transparent",Film,13.0,
,,,,0.0,0.0,0.0,0.0,0.1,0.04,"Black, Brown",Pellet,10.0,
S-28,43.2,Pagla,Buriganga,0.47,0.15,0.0,0.0,0.0,0.0,"Black, Red",Fiber and Line,20.0,89.0
,,,,0.19,0.03,0.09,0.03,0.0,0.0,"Green, Blood Red",Fragment and Sheet,38.0,
,,,,0.29,0.1,0.08,0.03,0.0,0.0,"White, Transparent",Film,14.0,
,,,,0.0,0.0,0.0,0.0,0.07,0.02,"Black, Brown",Pellet,17.0,
S-29,44.8,Aligonj Boat Ghat,Buriganga,1.64,0.19,0.0,0.0,0.0,0.0,"Black, Red, Blue",Fiber and Line,21.0,121.0
,,,,0.29,0.03,0.09,0.03,0.0,0.0,"Black, Brown, Bluish Green",Fragment and Sheet,68.0,
,,,,0.1,0.03,0.05,0.02,0.0,0.0,"White, Transparent",Film,13.0,
,,,,0.0,0.0,0.0,0.0,0.06,0.02,"Black, Brown",Pellet,19.0,
S-30,46.4,Fatullah,Buriganga,1.01,0.16,0.0,0.0,0.0,0.0,Black,Fiber and Line,11.0,80.0
,,,,0.1,0.03,0.07,0.02,0.0,0.0,"Black, Goldern, Red",Fragment and Sheet,37.0,
,,,,0.09,0.03,0.07,0.02,0.0,0.0,"White, Silver",Film,15.0,
,,,,0.0,0.0,0.0,0.0,0.07,0.03,"Black, Brown",Pellet,17.0,
S-31,48.0,Fatullah,Buriganga,0.24,0.05,0.0,0.0,0.0,0.0,"Black, Red",Fiber and Line,15.0,79.0
,,,,0.26,0.09,0.09,0.03,0.0,0.0,"Black, Yellow, Blue",Fragment and Sheet,33.0,
,,,,0.07,0.02,0.03,0.02,0.0,0.0,White,Film,14.0,
,,,,0.0,0.0,0.0,0.0,0.04,0.02,"Black, Brown",Pellet,16.0,
,,,,0.12,0.03,0.04,0.02,0.0,0.0,White,Foam,1.0,
S-32,49.6,"B G Mouth , Fatullah",Dhaleshwari,0.82,0.1,0.0,0.0,0.0,0.0,"Black, Red",Fiber and Line,17.0,83.0
,,,,0.21,0.09,0.31,0.09,0.0,0.0,"Black, Blue",Fragment and Sheet,34.0,
,,,,1.14,0.06,0.18,0.04,0.0,0.0,"White, Transparent",Film,15.0,
,,,,0.0,0.0,0.0,0.0,0.11,0.04,"Black, Brown",Pellet,17.0,
S-33,51.2,"Purbo Gopalnagar , Fatullah",Dhaleshwari,0.43,0.18,0.0,0.0,0.0,0.0,Black,Fiber and Line,10.0,72.0
,,,,0.33,0.19,0.28,0.03,0.0,0.0,"Black, Red, Green",Fragment and Sheet,34.0,
,,,,0.32,0.09,0.11,0.05,0.0,0.0,White,Film,15.0,
,,,,0.0,0.0,0.0,0.0,0.09,0.03,"Black, Brown",Pellet,13.0,
